Property Code,2022 Indoor Comp price,2023 Indoor Comp price
y41580,47.5,35.0
y40210,78.75,77.5
y40230,0.0,71.66666666666667
y40940,162.5,130.0
y40960,162.5,133.75
y40911,0.0,90.0
y40910,0.0,38.666666666666664
y64170,123.33333333333333,136.66666666666666
y40790,156.25,156.25
y41590,0.0,0.0
y41491,0.0,131.25
y64180,123.33333333333333,0.0
y63135,117.5,93.75
y31201,82.5,83.75
y63060,0.0,62.5
y31202,82.5,83.75
y63130,105.0,93.75
y31251,93.75,125.0
y31600,0.0,0.0
y63075,131.66666666666666,103.33333333333333
y63070,133.75,0.0
y31300,117.5,121.25
y55265,130.0,105.0
y50121,82.5,0.0
y55270,77.5,90.0
y50670,113.75,127.5
y53620,125.0,106.66666666666667
y53630,85.0,87.5
y55275,97.5,97.5
y65225,103.33333333333333,131.66666666666666
y53600,0.0,85.0
y53650,0.0,65.0
y53590,85.0,0.0
y53660,78.33333333333333,0.0
y53580,78.33333333333333,0.0
y50131,0.0,0.0
y65160,85.0,100.0
y65165,0.0,0.0
y53000,98.75,0.0
y50680,0.0,0.0
y52950,133.33333333333334,162.5
y31602,,96.66666666666667
y53640,126.5,160.0
