Property Code,Optimized Prices,Previous Month Current Prices,Difference
y31201,0.0,0.0,0.0
y31202,0.0,0.0,0.0
y31251,0.0,0.0,0.0
y31300,0.0,0.0,0.0
y31600,0.0,0.0,0.0
y31602,0.0,0.0,0.0
y40210,71.5,64.96296296296296,6.537037037037038
y40230,44.0,39.93150684931507,4.06849315068493
y40790,0.0,0.0,0.0
y40910,0.0,0.0,0.0
y40911,0.0,0.0,0.0
y40940,82.5,80.83333333333333,1.6666666666666714
y40960,0.0,0.0,0.0
y41491,0.0,0.0,0.0
y41580,38.5,64.76595744680851,-26.265957446808514
y50121,88.0,80.1107142857143,7.889285714285705
y50670,0.0,0.0,0.0
y50680,0.0,0.0,0.0
y52950,0.0,0.0,0.0
y53000,93.5,92.00387096774192,1.4961290322580822
y53590,121.0,89.14480349344983,31.855196506550172
y53600,82.5,51.27775,31.222250000000003
y53620,99.0,51.70808510638297,47.29191489361703
y53630,99.0,85.67416666666666,13.325833333333335
y53640,0.0,0.0,0.0
y53650,99.0,83.31081081081079,15.689189189189207
y53660,93.5,81.35642857142857,12.143571428571434
y55265,0.0,0.0,0.0
y55270,82.5,56.66253521126762,25.837464788732383
y55275,77.0,49.84105263157895,27.158947368421053
y63060,0.0,0.0,0.0
y63070,0.0,0.0,0.0
y63075,0.0,0.0,0.0
y63130,82.5,80.0,2.5
y63135,82.5,72.22222222222223,10.277777777777771
y64170,0.0,0.0,0.0
y64180,0.0,0.0,0.0
y65160,93.5,73.60645161290321,19.893548387096786
y65165,0.0,0.0,0.0
y65225,143.0,96.169,46.831
